Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Aichi Forge Usa Dam,Aichi Forge Usa Lake,,KY00728,,KY00728,AICHI,Private,Private,0,No,"AUSTIN ENGINEERS, INC. SOUTHFIELD, MICHIGAN",,Other,Other,Kentucky,KY00728,38.28828,-84.55619,Kentucky,Scott,DELAPLAIN-AREA,1,TR-DRY RUN,"Kentucky, Congressional District 06",,Yes,Yes,KY Division of Water,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,15,,,15,Less than 25 feet,325,,1974,1970-1979,,86.8,86.8,26.6,8,1.35,,Uncontrolled,,,,,,,,4/9/2021,4/30/2013,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Oxy Usa Retention Pond,,,ND01160,,ND01160,OXY USA Inc.,Private,Private,,No,"Jerrel S. Krieg, PE-4530",,Other,Other,North Dakota,,47.156385,-102.770612,North Dakota,Dunn,,,,"North Dakota, Congressional District 00",,Yes,Yes,ND DWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,29,,,29,25-50 feet,,,,Undetermined,,682.6,682.6,,,,,,,,,,,,,2/16/2023,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/north-dakota
Dod Usa 4,,Dod Usa,OK20998,,OK20998,DEPT. OF DEFENSE/US ARMY RESERVE CENTER,Federal,Federal,0,No,N/A,No,Recreation,Recreation,Oklahoma,,35.67191196,-95.18729125,Oklahoma,Muskogee,BRAGGS,1,TR-SAND CREEK,"Oklahoma, Congressional District 02",Cherokee OTSA,No,Yes,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,15,12,15,15,Less than 25 feet,240,0,1940,1940-1949,,50,50,25,,,20,Controlled,1,0,0,0,,,Valve1,6/22/2018,10/1/1998,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oklahoma
Dod Usa 2,,Dod Usa,OK20994,,OK20994,DEPT. OF DEFENSE/US ARMY RESERVE CENTER,Federal,Federal,0,No,N/A,No,Recreation,Recreation,Oklahoma,,35.70340894,-95.13637547,Oklahoma,Muskogee,ARROWHEAD POINT,6,TR-WEST SPANIARD CREEK,"Oklahoma, Congressional District 02",Cherokee OTSA,No,Yes,,No,No,No,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,18,10,18,18,Less than 25 feet,340,0,1939,1930-1939,,50,50,25,5,,200,Controlled,1,0,0,0,,,Valve1,6/22/2018,10/1/1998,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/oklahoma
Girl Scouts of Usa Dam,Lake Sparta Dam,,NC02637,,NC02637,"Girl Scouts, Carolina Peaks to Piedmont",Private,Private,0,No,,,Recreation,Recreation,North Carolina,GASTO-074,35.2356,-81.265,North Carolina,Gaston,,,Crowders Creek,"North Carolina, Congressional District 14",,Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,19,22,22,Less than 25 feet,290,,1982,1980-1989,,18,18,12,2,0.12,,Controlled,,,,,,,,1/27/2025,2/16/2023,,High,Fair,2/16/2023,,,Yes,10/21/2015,No,https://damsafety.org/north-carolina
Rlf/Pawnee Mine/Slurry Impoundment 2 Dam,Pawnee Capital Group Slurry Pond 2 Dam,Usa Coal Slurry Impoundment 2,IL50006,,IL50006,"RLF PAWNEE PROPERTIES, LLC",Private,Private,0,No,HANSON ENGINEERS,No,Other,Other,Illinois,,39.57607,-89.51917,Illinois,Christian,PAWNEE,4,TRIB SANGCHRIS LAKE,"Illinois, Congressional District 15",,Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,37,,,37,25-50 feet,9200,0,1985,1980-1989,1998,3700,3700,3520,,,,Uncontrolled,2,0,0,0,,,Uncontrolled,11/14/2023,6/2/2022,1,High,Not Available,,,,Yes,5/1/2019,No,https://damsafety.org/illinois
Exxonmobil Coal Usa/Mine 2/Recirculation Lake Dam,Make-Up Water Lake Dam,Monterey  Coal Co/Mine 2/Recirculation Lake Dam,IL50526,,IL50526,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,Private,0,No,HANSON/PATRICK ENGINEERING INC.,No,Recreation,Recreation,Illinois,,38.53781,-89.60861,Illinois,Clinton,DAMIANSVILLE,4,TRIB GRASSY BRANCH,"Illinois, Congressional District 12",,Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Rockfill,Rockfill,Unlisted/Unknown,Unlisted/Unknown,18,,,18,Less than 25 feet,700,0,1975,1970-1979,,394,394,180,31.8,0.14,2930,Uncontrolled,0,0,0,0,,,,11/17/2023,6/22/2021,5,Low,Not Available,,,,No,,No,https://damsafety.org/illinois
Exxonmobil Coal Usa/Mine 2/Freshwater Lake Dam,,Monterey Coal Co/Mine 2/Freshwater Lake Dam,IL50527,,IL50527,EXXONMOBIL ENVIRONMENTAL SERVICES COMPAN,Private,Private,0,No,HANSON/PATRICK ENGINEERING INC.,No,Recreation,Recreation,Illinois,,38.53631,-89.60401,Illinois,Clinton,DAMIANSVILLE,4,TRIB GRASSY BRANCH,"Illinois, Congressional District 12",,Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Rockfill,Rockfill,Unlisted/Unknown,Unlisted/Unknown,15,,,15,Less than 25 feet,800,0,1975,1970-1979,,423,423,187,545,1.23,230,Uncontrolled,0,0,0,0,,,,11/17/2023,6/6/2023,5,Low,Not Available,,,,No,,No,https://damsafety.org/illinois
Rlf/Pawnee Mine/Slurry Impoundment 3 Dam,Slurry Pond 3 Former Peabody Mine #10,Usa Coal Slurry Impoundment 3,IL50416,,IL50416,"RLE PAWNEE PROPERTIES, LLC",Private,Private,0,No,GREENE & BRADFORD,No,Debris Control,Debris Control;Water Supply,Illinois,,39.58123,-89.52183,Illinois,Christian,,0,TRIB SANGCHRIS LAKE,"Illinois, Congressional District 15",,Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,20,,,20,Less than 25 feet,3600,0,1999,1990-1999,,214,214,171,12,0.02,9,Uncontrolled,1,0,0,0,,,Uncontrolled,11/17/2023,9/13/2023,5,Low,Not Available,,,,Yes,3/1/2017,No,https://damsafety.org/illinois
Asso.Minerals (Usa) Ltd. Dam,Associated Minerals Dam,,FL00155,,FL00155,"ILUKA RESOURCES, INC.",Private,Private,0,No,,No,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",Florida,,29.890339,-81.7066,Florida,Clay,ST AUGUSTINE,0,CLARKES CREEK-OFFSTREAM,"Florida, Congressional District 04",,Yes,Yes,SJRWMD,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,20,20,18,20,Less than 25 feet,11170,2220,1970,1970-1979,,2220,2220,1680,165,0,11170,Controlled,0,0,0,0,,,,5/4/2023,7/31/2014,,Significant,Satisfactory,7/31/2014,,,No,,No,https://damsafety.org/florida
